sample_id,sample_name,seed,offset_std,noise_std,m,k,spatial_tau,feature_tau,lambda_feat,nearest_mse,gaussian_mse,feature_mse,nearest_acc,true_in_knn_acc,true_in_feat_knn_acc,gaussian_w_max,feature_w_max,gaussian_ratio,feature_ratio,feature_vs_gaussian_ratio
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,0,0.002,0.0,512,512,0.001,0.01,10.0,1324.094970703125,1186.3726806640625,370.8939208984375,0.220703125,0.841796875,0.841796875,0.01611904427409172,0.6288153529167175,0.8959876042985582,0.2801112677752142,0.31262850784024515
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,0,0.002,0.001,512,512,0.001,0.01,10.0,1294.708251953125,1257.9415283203125,411.9136962890625,0.197265625,0.849609375,0.849609375,0.016092238947749138,0.641019880771637,0.9716023099587507,0.3181517501473188,0.3274505905207511
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,0,0.002,0.005,512,512,0.001,0.01,10.0,1294.71435546875,1257.94677734375,411.9179382324219,0.197265625,0.849609375,0.849609375,0.016092238947749138,0.6417440176010132,0.9716017838454504,0.3181535266775407,0.32745259628727524
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,0,0.002,0.01,512,512,0.001,0.01,10.0,1294.7216796875,1257.9530029296875,411.92352294921875,0.197265625,0.849609375,0.849609375,0.016092238947749138,0.6413917541503906,0.9716010959462058,0.31815604033806133,0.32745541525786476
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,0,0.002,0.05,512,512,0.001,0.01,10.0,1294.7843017578125,1258.0067138671875,411.96905517578125,0.197265625,0.849609375,0.849609375,0.016092238947749138,0.6380693316459656,0.9715955871254421,0.31817581864136585,0.32747762840578476
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,1,0.002,0.0,512,512,0.001,0.01,10.0,863.84912109375,853.257080078125,230.34848022460938,0.208984375,0.876953125,0.876953125,0.02262074686586857,0.6123338937759399,0.9877385520723642,0.2666536025792988,0.2699637490303842
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,1,0.002,0.001,512,512,0.001,0.01,10.0,1281.5712890625,1191.139892578125,344.4461364746094,0.193359375,0.876953125,0.876953125,0.022629402577877045,0.6242970824241638,0.9294370923754638,0.26876861194868057,0.2891735375675177
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,1,0.002,0.005,512,512,0.001,0.01,10.0,1281.583251953125,1191.1497802734375,344.452392578125,0.193359375,0.876953125,0.876953125,0.022629402577877045,0.624799907207489,0.9294361317987985,0.2687709846810043,0.2891763893026562
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,1,0.002,0.01,512,512,0.001,0.01,10.0,1281.5982666015625,1191.162353515625,344.46014404296875,0.193359375,0.876953125,0.876953125,0.022629402577877045,0.6248539090156555,0.9294350535244184,0.26877388415667886,0.2891798443984742
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,1,0.002,0.05,512,512,0.001,0.01,10.0,1281.720458984375,1191.2637939453125,344.5242004394531,0.193359375,0.876953125,0.876953125,0.022629402577877045,0.6209832429885864,0.9294255901082054,0.2687982375754939,0.289208991484945
