sample_id,sample_name,seed,offset_std,m,noise_std,k,tau,nearest_mse,gaussian_mse,nearest_acc,true_in_knn_acc,weights_max_mean,improvement,improvement_ratio
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,0,0.0,512,0.0,512,0.001,1.889504075050354,103.58499145507812,0.736328125,1.0,0.01617606356739998,-101.69548738002777,54.82125856347658
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,0,0.001,512,0.0,512,0.001,399.2098388671875,402.5146484375,0.30859375,0.90625,0.016157448291778564,-3.3048095703125,1.0082783770552608
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,0,0.002,512,0.0,512,0.001,1324.094970703125,1186.3726806640625,0.220703125,0.841796875,0.01611904427409172,137.7222900390625,0.8959876042985582
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,0,0.005,512,0.0,512,0.001,6568.974609375,6079.79296875,0.09375,0.724609375,0.016016284003853798,489.181640625,0.925531506861534
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,0,0.01,512,0.0,512,0.001,20902.46875,20053.982421875,0.05078125,0.599609375,0.01575649157166481,848.486328125,0.9594073629161627
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,1,0.0,512,0.0,512,0.001,1.4169872999191284,94.37184143066406,0.7578125,1.0,0.02274387702345848,-92.95485413074493,66.6003438676198
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,1,0.001,512,0.0,512,0.001,239.86300659179688,296.8413391113281,0.302734375,0.927734375,0.02270391769707203,-56.97833251953125,1.2375453110887498
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,1,0.002,512,0.0,512,0.001,863.84912109375,853.257080078125,0.208984375,0.876953125,0.02262074686586857,10.592041015625,0.9877385520723642
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,1,0.005,512,0.0,512,0.001,4345.8349609375,4070.1005859375,0.0859375,0.7578125,0.02227409929037094,275.734375,0.9365520371853887
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,1,0.01,512,0.0,512,0.001,15483.08984375,14798.134765625,0.037109375,0.626953125,0.021395985037088394,684.955078125,0.9557610861244539
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,2,0.0,512,0.0,512,0.001,1.6767557859420776,87.67411804199219,0.751953125,1.0,0.028566276654601097,-85.99736225605011,52.287947223472905
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,2,0.001,512,0.0,512,0.001,379.6304931640625,379.17437744140625,0.34375,0.927734375,0.028516896069049835,0.45611572265625,0.9987985271708426
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,2,0.002,512,0.0,512,0.001,1287.5618896484375,1185.693359375,0.24609375,0.89453125,0.02840398997068405,101.8685302734375,0.9208826145815389
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,2,0.005,512,0.0,512,0.001,5438.4560546875,5042.44970703125,0.115234375,0.765625,0.02790570631623268,396.00634765625,0.9271840493562644
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,2,0.01,512,0.0,512,0.001,14881.21875,14294.6357421875,0.052734375,0.66015625,0.026707258075475693,586.5830078125,0.9605823274513386
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,0,0.0,512,0.0,512,0.001,6.888409614562988,245.52383422851562,0.755859375,1.0,0.02078315056860447,-238.63542461395264,35.64303634171907
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,0,0.001,512,0.0,512,0.001,2778.41650390625,2714.572265625,0.31640625,0.919921875,0.020755430683493614,63.84423828125,0.9770213579600144
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,0,0.002,512,0.0,512,0.001,9069.203125,8819.859375,0.2109375,0.873046875,0.02069806307554245,249.34375,0.972506542574544
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,0,0.005,512,0.0,512,0.001,44196.359375,43509.796875,0.099609375,0.74609375,0.020429138094186783,686.5625,0.9844656322441717
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,0,0.01,512,0.0,512,0.001,78452.171875,78429.046875,0.056640625,0.619140625,0.020015807822346687,23.125,0.9997052344192988
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,1,0.0,512,0.0,512,0.001,5.517627716064453,188.10089111328125,0.791015625,1.0,0.025379570201039314,-182.5832633972168,34.090899348941136
